GS.Sample.ID	Corrected.Sample.ID	ACNO	Habit	Region	State	Year	MC	HeadType	Sector	Decade	BP
A99AR 600923	A99AR	PI600923	spring	NOR	MN	1982	HRS	common	Private	1980-89	1961-2015
Abe	Abe	CItr15375	winter	EAS	IN	1972	SRW	common	Public	1970-79	1961-2015
Abilene	Abilene	PI511307	winter	GPL	KS	1987	HRW	common	Private	1980-89	1961-2015
Ace	Ace	CItr13384	winter	EAS	AR	1960	SRW	common	Public	1960-69	1850-1960
Adams	Adams	CItr13722	spring	PNW	OR	1968	HWS	common	Public	1960-69	1961-2015
Adena	Adena	PI481852	winter	EAS	OH	1984	SRW	common	Public	1980-89	1961-2015
Admire	Admire	PI583810	spring	PAC	AZ	1994	HRS	common	Private	1990-99	1961-2015
Agassiz	Agassiz	PI478771	winter	NOR	ND	1983	HRW	common	Public	1980-89	1961-2015
Agent	Agent	CItr13523	winter	GPL	OK	1967	HRW	common	Public	1960-69	1961-2015
Agrus	Agrus	CItr13228	winter	EAS	IN	1972	SRW	common	Public	1970-79	1961-2015
Akron	Akron	PI584504	winter	GPL	CO	1994	HRW	common	Public	1990-99	1961-2015
Albit	Albit	CItr8275	winter	PNW	WA	1926	SWW	club	Public	1850-1929	1850-1960
Alex	Alex	PI17910	spring	NOR	ND	1981	HRS	common	Public	1980-89	1961-2015
Alice	Alice	PI644223	winter	NOR	SD	2006	HWW	common	Public	2000-15	1961-2015
Alicel	Alicel	CItr11700	winter	PNW	OR	1932	SWW	club	Public	1930-39	1850-1960
Allegiance	Allegiance	PI641952	winter	EAS	KY	2002	SRW	common	Public	2000-15	1961-2015
Alliance	Alliance	PI573096	winter	GPL	NE	1993	HRW	common	Public	1990-99	1961-2015
Alpowa	Alpowa	PI566596	spring	PNW	WA	1994	SWS	common	Public	1990-99	1961-2015
Amidon	Amidon	PI527682	spring	NOR	ND	1988	HRS	common	Public	1980-89	1961-2015
Anderson	Anderson	CItr12536	winter	EAS	SC	1954	SRW	common	Public	1950-59	1850-1960
Andnox	Andnox	CItr13907	winter	EAS	SC	1966	SRW	common	Public	1960-69	1961-2015
Andrews	Andrews	PI512282	winter	PNW	WA	1987	HRW	common	Public	1980-89	1961-2015
Angus	Angus	CItr17744	spring	NOR	MN	1978	HRS	common	Public	1970-79	1961-2015
Ankor	Ankor	PI632275	winter	GPL	CO	2002	HRW	common	Public	2000-15	1961-2015
Antelope	Antelope	PI633910	winter	GPL	NE	2003	HWW	common	NA	2000-15	1961-2015
Anza	Anza	CItr15284	spring	PAC	CA	1971	HRS	common	Public	1970-79	1961-2015
Apex 83	Apex 83	PI601073	spring	PAC	AZ	1983	HRS	common	NA	1980-89	1961-2015
AR 910	AR 910	PI636470	winter	EAS	AR	2004	SRW	common	Public	2000-15	1961-2015
Arapahoe	Arapahoe	PI518591	winter	GPL	NE	1988	HRW	common	Public	1980-89	1961-2015
Arcadian	Arcadian	CItr565362	winter	EAS	NY	1895	SWW	common	Public	1850-1929	1850-1960
Archer	Archer	CItr17940	winter	GPL	CO	1981	HRW	common	Private	1980-89	1961-2015
Arco	Arco	CItr8246	winter	PNW	OR	1928	SWW	common	Public	1850-1929	1850-1960
Ark	Ark	CItr15286	winter	PNW	ID	1972	HRW	common	Public	1970-79	1961-2015
Arkan	Arkan	PI475771	winter	GPL	KS	1982	HRW	common	Public	1980-89	1961-2015
Arkansas No. 105	Arkansas No. 105	CItr565390	winter	EAS	AR	1918	SRW	common	NA	1850-1929	1850-1960
Arrow	Arrow	CItr15079	winter	EAS	NY	1971	SWW	common	Public	1970-79	1961-2015
Arrowsmith	Arrowsmith	PI633911	winter	GPL	NE	2003	HWW	common	Public	2000-15	1961-2015
ARS-Amber	ARS-Amber	PI665047	winter	PNW	WA	2012	SWW	common	Public	2000-15	1961-2015
